year,county_code,D,D1,D2,reform_year,D1_year,D2_year,gdp_growth_pc,ln_gdppc,gdppc,ln_fiscal_exp_pc,ln_fiscal_rev_pc,fiscal_autonomy,transfer_dependence,fiscal_exp_pc,fiscal_rev_pc,primary_ratio,secondary_ratio,tertiary_ratio,ln_pop,gov_scale,high_development,high_agriculture,is_county_city,region,region_east,region_central,region_west,relative_time,event_m6plus,event_m5,event_m4,event_m3,event_m2,event_m1,event_0,event_p1,event_p2,event_p3,event_p4,event_p5,event_p6,event_p7,event_p8,event_p9,event_p10plus
2000,130121,0,0,0,,,,,,,5.98443839937023,5.624846882637199,0.697961373390558,0.30203862660944203,397.1993911719939,277.22983257229833,13.749895093284875,54.20301912403806,32.04708578267707,3.4919517449306197,4.761122848500108,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,130121,0,0,0,,,,,,,6.063135234199437,5.706235711090499,0.6998428122320663,0.30015718776793365,429.7206017807799,300.73687442431685,12.499486575665056,54.60096660688125,32.89954681745369,3.4833916192881422,4.7905913279206995,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,130121,0,0,0,,,,,,,6.3317308501325,5.708310162983686,0.5361074416556583,0.46389255834434173,562.1287128712871,301.36138613861385,11.684628474191719,55.07499842440284,33.24037310140543,3.4756862336528944,5.725089809037625,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,130121,0,0,0,,,,,,,6.416198469072517,5.814468739835481,0.5478631611003959,0.4521368388996041,611.6733933561006,335.11331884507916,9.9229790150452,58.0553833099442,32.02163767501061,3.4722769633431074,5.358289002752303,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,130121,0,0,0,,,,,,,6.6464310984397885,6.116305947131812,0.5885313096059414,0.41146869039405864,770.03125,453.1875,10.163681887904568,58.63032997513721,31.205988136958222,3.4657359027997265,5.4072736289804055,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,130121,0,0,0,,,,,9.65617937422262,15618.0,6.8685320681672914,6.302883116269199,0.5679914280148062,0.4320085719851938,961.5360599438027,546.1442397752107,10.434265865790557,54.95231959278571,34.61341454142373,3.466672963621067,6.162237437623302,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,130121,0,0,0,,,,18.600332949161224,9.826768482122723,18523.0,6.986265052223752,6.426009047887712,0.5710628505681001,0.42893714943189987,1081.6739265712508,617.7037958929683,9.792591445869498,55.369805110670626,34.837603443459884,3.4701013603093664,5.849876995251445,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,130121,0,0,0,,,,21.011715164930088,10.01748565658954,22415.0,7.1832869098033,6.612289143009529,0.5649614576033637,0.4350385423966363,1317.2307692307693,744.1846153846154,8.740898204832664,56.412011953978556,34.84708984118877,3.481240089335692,5.909351296509742,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,130121,0,0,0,,,,21.677448137407985,10.21368914641778,27274.0,7.526398238538902,6.976891201753218,0.5772342955281062,0.42276570447189377,1856.4071122011037,1071.58185162477,8.216865963546086,57.333090723987965,34.45004331246596,3.4849255971928677,6.7598703305143015,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,130121,0,0,0,,,,12.070103395174892,10.327643559087782,30566.0,7.725038666643137,6.980734909830168,0.4750649455534169,0.5249350544465832,2264.340140201158,1075.7086254190795,7.751546496703401,55.98427853109261,36.264174972203975,3.4907333469730104,7.414900263687918,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,130121,0,0,0,,,,4.6031538310541125,10.37264707562448,31973.0,7.827181685954407,7.108544929356367,0.4874162702650228,0.5125837297349771,2507.8514911746806,1222.3676202069385,8.053645254469249,51.020419824972926,40.92593492055782,3.492256112609122,7.848313681120829,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,130121,0,0,0,,,,,,,8.01086604626158,7.212464810215198,0.45004790962731356,0.5499520903726864,3013.5258358662613,1356.2310030395138,7.762217743210607,51.2412058712408,40.996576385548586,3.493472657771326,8.250711103196094,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,130121,0,0,0,,,,,,,8.056887836057461,7.300800139816435,0.46949966388168635,0.5305003361183136,3155.4545454545455,1481.4848484848485,8.46103699421432,50.44065258402919,41.09831042175649,3.4965075614664802,8.005086108680977,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,130121,0,0,0,,,,,,,8.103225411246829,7.278156985453013,0.4382050069136162,0.5617949930863838,3305.1112447384244,1448.316295850872,9.259856694774726,47.17697153922396,43.56317176600131,3.5043554737647815,8.005517229325502,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,130121,0,0,0,,,,,,,8.22793229570109,7.410348914518106,0.4414972970371677,0.5585027029628322,3744.084084084084,1653.003003003003,9.200782577213356,46.51015122399532,44.289066198791325,3.505557396986398,8.68061937783719,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,130121,0,0,0,,,,,,,8.385311231380353,7.509244760460723,0.4164176854339126,0.5835823145660874,4382.222222222223,1824.8348348348347,9.481000221410383,42.3882569467508,48.130742831838816,3.505557396986398,10.09686704306432,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,130121,0,0,0,,,,,,,8.663366295431304,7.409893002049107,0.2855114078097627,0.7144885921902373,5786.982603479303,1652.2495500899818,7.809806188226894,41.06087492020179,51.129318891571316,3.506757877322648,12.803415695263071,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,130121,0,0,0,,,,,,,8.655575135872388,7.587311462930349,0.3436046097444693,0.6563953902555306,5742.070484581498,1973.0018879798615,7.104940454008325,37.755120891581385,55.139938654410294,3.45883716110857,11.624638885969187,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,130121,0,0,0,,,,,,,8.84130989770211,7.671383172225157,0.31038968408829987,0.6896103159117002,6914.043400839043,2146.047746959225,7.475256225367575,33.781782900011315,58.74296087462111,3.50052976458164,13.788319445681665,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,130121,0,0,0,,,,,,,8.857330086249444,7.811265316579547,0.3513175478874687,0.6486824521125313,7025.69966897382,2468.2515798976833,10.095933651049082,31.68575024241299,58.21831610653793,3.503453082366503,24.082853665078087,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,130121,0,0,0,,,,,10.582586517370014,39442.0,9.002402154728198,7.973366659885452,0.35735146173365967,0.6426485382663403,8122.572186480472,2902.6130438759646,11.400442584114993,31.13465201523834,57.46490540064667,3.4903370477924307,26.650686685661235,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,130121,0,0,0,,,,10.379798184676234,10.681343461023028,43536.0,8.908555252377122,8.070191275442792,0.4324173898703387,0.5675826101296613,7394.969512195122,3197.7134146341464,11.219127452149271,34.8219411759311,53.958931371919626,3.490428515390098,22.245201170244965,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,130121,0,0,0,,,,9.43127526644616,10.771470004116164,47642.0,9.095109757936713,8.160275793845575,0.39265105429419583,0.6073489457058041,8911.60606060606,3499.151515151515,10.695514200647075,36.36667509998509,52.93781069936784,3.4965075614664802,24.63671107283539,0,0,0,东部,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
