prov_code,prov_name,capital,cap_lon,cap_lat
11,北京市,北京,116.4074,39.9042
12,天津市,天津,117.2010,39.0842
13,河北省,石家庄,114.5024,38.0454
14,山西省,太原,112.5489,37.8706
15,内蒙古自治区,呼和浩特,111.7519,40.8414
21,辽宁省,沈阳,123.4315,41.8057
22,吉林省,长春,125.3245,43.8868
23,黑龙江省,哈尔滨,126.5358,45.8038
31,上海市,上海,121.4737,31.2304
32,江苏省,南京,118.7969,32.0603
33,浙江省,杭州,120.1551,30.2741
34,安徽省,合肥,117.2272,31.8206
35,福建省,福州,119.2965,26.0745
36,江西省,南昌,115.8921,28.6765
37,山东省,济南,117.0009,36.6758
41,河南省,郑州,113.6253,34.7466
42,湖北省,武汉,114.3055,30.5928
43,湖南省,长沙,112.9388,28.2280
44,广东省,广州,113.2644,23.1291
45,广西壮族自治区,南宁,108.3669,22.8170
46,海南省,海口,110.3312,20.0319
50,重庆市,重庆,106.5516,29.5630
51,四川省,成都,104.0668,30.5728
52,贵州省,贵阳,106.6302,26.6477
53,云南省,昆明,102.8329,25.0389
54,西藏自治区,拉萨,91.1322,29.6604
61,陕西省,西安,108.9398,34.3416
62,甘肃省,兰州,103.8343,36.0611
63,青海省,西宁,101.7782,36.6171
64,宁夏回族自治区,银川,106.2309,38.4872
65,新疆维吾尔自治区,乌鲁木齐,87.6177,43.7928
