spec,period,coef,ci_lower,ci_upper,se
full,m5,.6692367512431927,.6692367512431927-1.96*.3574169049668075,.6692367512431927+1.96*.3574169049668075,.3574169049668075
full,m4,-.3469048188410118,-.3469048188410118-1.96*.3799849551658726,-.3469048188410118+1.96*.3799849551658726,.3799849551658726
full,m3,-.1446241842282881,-.1446241842282881-1.96*.3081293373069943,-.1446241842282881+1.96*.3081293373069943,.3081293373069943
full,m2,.358384735680334,.358384735680334-1.96*.3753936281038308,.358384735680334+1.96*.3753936281038308,.3753936281038308
full,m1,-.4224857827355722,-.4224857827355722-1.96*.2245141937847072,-.4224857827355722+1.96*.2245141937847072,.2245141937847072
full,p1,.7321435019415479,.7321435019415479-1.96*.3205766785809836,.7321435019415479+1.96*.3205766785809836,.3205766785809836
full,p2,1.478780486846314,1.478780486846314-1.96*.3915265026375155,1.478780486846314+1.96*.3915265026375155,.3915265026375155
full,p3,.1753204113324572,.1753204113324572-1.96*.4345674156797152,.1753204113324572+1.96*.4345674156797152,.4345674156797152
full,p4,1.797209399178803,1.797209399178803-1.96*.3408175893618997,1.797209399178803+1.96*.3408175893618997,.3408175893618997
full,p5,2.189003955473599,2.189003955473599-1.96*.3694821075724422,2.189003955473599+1.96*.3694821075724422,.3694821075724422
full,p6,2.310305432240496,2.310305432240496-1.96*.3793469474163313,2.310305432240496+1.96*.3793469474163313,.3793469474163313
full,p7,2.157451987838743,2.157451987838743-1.96*.3935123084737024,2.157451987838743+1.96*.3935123084737024,.3935123084737024
full,p8,.7520956069819804,.7520956069819804-1.96*.4222378670514707,.7520956069819804+1.96*.4222378670514707,.4222378670514707
full,p9,1.03881026113883,1.03881026113883-1.96*.386493782498518,1.03881026113883+1.96*.386493782498518,.386493782498518
full,p10plus,1.750015815214266,1.750015815214266-1.96*.3428208287452461,1.750015815214266+1.96*.3428208287452461,.3428208287452461
no_ctrl,m5,.6196495737528581,.6196495737528581-1.96*.3627676919385451,.6196495737528581+1.96*.3627676919385451,.3627676919385451
no_ctrl,m4,-.350061223166979,-.350061223166979-1.96*.3899840228300872,-.350061223166979+1.96*.3899840228300872,.3899840228300872
no_ctrl,m3,-.1511733214198026,-.1511733214198026-1.96*.3136095230105841,-.1511733214198026+1.96*.3136095230105841,.3136095230105841
no_ctrl,m2,.3426564256700589,.3426564256700589-1.96*.3827962163811228,.3426564256700589+1.96*.3827962163811228,.3827962163811228
no_ctrl,m1,-.3986278776946191,-.3986278776946191-1.96*.2245259283555711,-.3986278776946191+1.96*.2245259283555711,.2245259283555711
no_ctrl,p1,.7137445943799461,.7137445943799461-1.96*.3261683145780623,.7137445943799461+1.96*.3261683145780623,.3261683145780623
no_ctrl,p2,1.372132582806068,1.372132582806068-1.96*.396843829132673,1.372132582806068+1.96*.396843829132673,.396843829132673
no_ctrl,p3,-.1362444725670864,-.1362444725670864-1.96*.4553727239172948,-.1362444725670864+1.96*.4553727239172948,.4553727239172948
no_ctrl,p4,1.470034530845392,1.470034530845392-1.96*.3444162574532017,1.470034530845392+1.96*.3444162574532017,.3444162574532017
no_ctrl,p5,1.925518431520363,1.925518431520363-1.96*.3641860175454599,1.925518431520363+1.96*.3641860175454599,.3641860175454599
no_ctrl,p6,2.174792819162942,2.174792819162942-1.96*.3610624947527459,2.174792819162942+1.96*.3610624947527459,.3610624947527459
no_ctrl,p7,2.147319332171426,2.147319332171426-1.96*.3927584322326368,2.147319332171426+1.96*.3927584322326368,.3927584322326368
no_ctrl,p8,.9190295476370786,.9190295476370786-1.96*.4180336104068115,.9190295476370786+1.96*.4180336104068115,.4180336104068115
no_ctrl,p9,1.155244261774003,1.155244261774003-1.96*.3830629276137293,1.155244261774003+1.96*.3830629276137293,.3830629276137293
no_ctrl,p10plus,1.783476039560935,1.783476039560935-1.96*.3116431722816811,1.783476039560935+1.96*.3116431722816811,.3116431722816811
industry,m5,.6628716534016429,.6628716534016429-1.96*.3575656037400278,.6628716534016429+1.96*.3575656037400278,.3575656037400278
industry,m4,-.3565384656030669,-.3565384656030669-1.96*.3795457981499475,-.3565384656030669+1.96*.3795457981499475,.3795457981499475
