period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-6,.0008918045762343,-.0109556447506959,.0127392539031645,.0060446170035358
-5,.0121675490253844,.0024096310980926,.0219254669526762,.0049785295547407
-4,.0178406188030603,.0092161565525643,.0264650810535563,.0044002358420898
-3,.0055866318545805,-.0019206357749023,.0130938994840633,.0038302385864708
-2,.0080240527302437,.001563992896217,.0144841125642704,.0032959488949116
-1,.0007764124855167,-.0038272297325239,.0053800547035573,.0023487970500207
1,-.0082659484063778,-.0126915446406322,-.0038403521721234,.0022579572623747
2,-.005719549109798,-.0112901112429154,-.0001489869766806,.0028421235373048
3,-.0012841662952635,-.0081590677131594,.0055907351226324,.0035076027642326
4,-.0048801871232139,-.0124887590732838,.002728384826856,.0038819244643214
5,-.007257327045782,-.0153645585774111,.0008499044858471,.0041363426181781
6,-.006120724926419,-.0150539737409428,.0028125238881048,.0045577800074101
7,-.00809993685181,-.0174069853166763,.0012071116130563,.0047484941147277
8,-.0053909134654455,-.0152600597828601,.0044782328519691,.0050352787333748
9,-.0114143850071277,-.0220197284317621,-.0008090415824933,.0054108895023645
10,-.0222218884208704,-.0330609306257397,-.0113828462160011,.0055301235739129
