period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-6,-.0094479409330284,-.0519388615338314,.0330429796677746,.0216790411228587
-5,.0126936604919123,-.0219860868170594,.047373407800884,.0176937486270264
-4,.0180254486693423,-.0105908709002581,.0466417682389427,.0146001630457145
-3,-.0195772642773136,-.0435805948907522,.004426066336125,.0122465972517544
-2,-.0104672257098221,-.0287197546205177,.0077853032008735,.0093125147503549
-1,-.0339957763612801,-.0468420342853648,-.0211495184371955,.0065542132265738
1,-.0030324452965542,-.0147733030812126,.0087084124881042,.0059902335636012
2,.0216833425010897,.0051617306133668,.0382049543888126,.0084293938202668
3,.0465912796009138,.025425250968044,.0677573082337836,.0107989942004438
4,.0278870870546505,.003759755978946,.052014418130355,.0123098627937268
5,.0280473185745019,.0000743263698704,.0560203107791334,.0142719347982814
6,.0274074567988179,-.0033763082619574,.0581912218595932,.0157060025820282
7,.0353037804440607,.0035837791430206,.0670237817451007,.0161836741331837
8,.046647968494512,.0116821960149412,.0816137409740828,.0178396798365157
9,.0269501221737782,-.0112347388312919,.0651349831788483,.0194820719413623
10,.0435611885120668,.0024030517010914,.0847193253230422,.0209990493933548
