period,coef,ci_lower,ci_upper,se
0,0,0,0,0
-6,-.0891777707771644,-.1245498549183286,-.0538056866360002,.0180469817046756
-5,-.0415516726136475,-.0654787148243388,-.0176246304029562,.0122076745972915
-4,-.010508799744787,-.0284170494856122,.0073994499960382,.0091368621126659
-3,-.0069796108462267,-.0218671400127961,.0079079183203427,.0075956781462089
-2,.0065840800961583,-.004251940937111,.0174201011294276,.0055285821598313
-1,-.0085580067272442,-.0165295252883299,-.0005864881661585,.0040671013066764
1,-.0044625623523449,-.0115412142597511,.0026160895550613,.0036115570956154
2,.0033104448454786,-.0073335721446727,.0139544618356299,.0054306209133425
3,-.0172614913397627,-.0317830158229297,-.0027399668565957,.0074089410628403
4,-.0227094621059548,-.0402727295799365,-.0051461946319731,.0089608507520315
5,-.0336931369483771,-.0533314682899438,-.0140548056068104,.0100195568069218
6,-.0433898293477525,-.0653903101895512,-.0213893485059538,.0112247351233667
7,-.052150778249847,-.0754160181571136,-.0288855383425804,.0118700203608503
8,-.0603899766180045,-.0859301515590527,-.0348498016769563,.0130307015005348
9,-.075006582963839,-.1027069971335699,-.0473061687941081,.0141328643723117
10,-.114623428042794,-.1471064218843088,-.0821404342012792,.0165729560415892
