county_code,D2,D1,reform_pivot,gdp_growth_outcome,ln_gdppc_outcome,fiscal_autonomy_pre,primary_ratio_pre,secondary_ratio_pre,ln_pop_pre,gov_scale_pre,region_val
130121,0,0,2007,14.840605,10.232866,.57586187,10.130179,56.317486,3.4675033,5.8064628,1
130123,0,0,2007,14.568199,10.299397,.48170987,19.596363,46.736462,3.7854698,4.4361281,1
130125,1,0,2009,,9.8835011,.2428599,21.390438,57.182934,3.7522457,7.2845025,1
130126,1,0,2010,,9.9120512,.21250612,17.022526,59.19062,3.4732502,9.2815552,1
130127,1,0,2010,,9.995656,.24747121,18.29027,53.244263,2.8952582,8.6466255,1
130128,1,0,2009,,9.9593124,.35386902,19.745203,57.0741,3.220854,6.9461694,1
130129,1,0,2010,,9.9838228,.24343708,23.526905,55.087986,3.1928546,8.7794485,1
130130,1,0,2009,,10.000353,.32712671,17.347645,54.896992,3.8943825,4.9121046,1
130131,1,1,2009,,10.349785,.43536201,12.932384,66.418648,3.8379228,8.3364334,1
130132,1,0,2009,,10.112869,.33120579,16.073837,53.700626,3.6950173,4.7582126,1
130133,1,0,2009,,9.9638605,.27053607,22.686705,52.14893,4.0381222,5.3939471,1
130181,1,1,2009,,10.537905,.46236071,18.160093,56.813698,4.1125026,4.1843357,1
130183,1,0,2009,,10.178906,.40025294,15.103239,53.316204,3.9585633,4.7537756,1
130184,1,0,2009,,10.120008,.39757496,18.909447,55.659393,3.8480604,4.6138,1
130224,1,0,2009,,10.631609,.38311559,20.234913,50.139988,4.0625081,5.1359625,1
130225,0,0,2007,14.331317,10.629612,.51466757,35.085453,33.504295,3.8958895,4.7168474,1
130227,0,0,2007,14.666951,11.185526,.55197376,7.2288899,66.493195,3.5963445,5.5799203,1
130229,1,0,2009,,10.442598,.3285087,21.671276,45.724964,4.1965446,4.4823017,1
130281,1,1,2009,,11.198395,.55974758,7.4001861,56.97514,4.2610064,4.7779274,1
130283,1,1,2009,,11.14172,.69168139,4.9196506,62.578732,4.2489181,6.2661939,1
130284,0,0,2007,22.472698,10.508984,.47048566,16.154751,51.783989,3.9913247,4.5918331,1
130321,0,0,2007,21.103601,9.3213558,.35297957,24.314478,47.882545,3.9605341,12.999973,1
130322,1,1,2009,,9.9587669,.32941529,34.155205,38.263351,4.0122876,7.9261894,1
130324,1,0,2009,,9.6714649,.16603723,23.405142,30.116957,3.7376666,9.6074457,1
