family,M,bias_bound_pp,ci_lo,ci_hi,excludes_zero,note,max_pre_coef_pp,max_2nd_diff_pp,att_pp,att_se
Δ^RM (relative magnitudes),0.25,0.16866013183544998,0.16685986816454995,1.82914013183545,True,,0.6746405273417999,1.7265944172783252,0.998,0.338
"Δ^SD (smoothness, 2nd diff)",0.25,0.4316486043195813,-0.09612860431958137,2.0921286043195817,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
Δ^RM (relative magnitudes),0.5,0.33732026367089996,-0.0018002636709000264,1.9978002636709,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
"Δ^SD (smoothness, 2nd diff)",0.5,0.8632972086391626,-0.5277772086391627,2.5237772086391628,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
Δ^RM (relative magnitudes),1.0,0.6746405273417999,-0.3391205273418,2.3351205273418003,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
"Δ^SD (smoothness, 2nd diff)",1.0,1.7265944172783252,-1.3910744172783254,3.3870744172783254,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
Δ^RM (relative magnitudes),2.0,1.3492810546835998,-1.0137610546836,3.0097610546836,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
"Δ^SD (smoothness, 2nd diff)",2.0,3.4531888345566504,-3.1176688345566506,5.11366883455665,False,,0.6746405273417999,1.7265944172783252,0.998,0.338
Δ^RM (relative magnitudes),0.4973,0.3355,0.0,3.3209600000000004,False,Breakdown M: lower CI = 0,0.6746405273417999,1.7265944172783252,0.998,0.338
Δ^SD (smoothness),0.1943,0.3355,0.0,3.3209600000000004,False,Breakdown M: lower CI = 0,0.6746405273417999,1.7265944172783252,0.998,0.338
