imputation,d2_estimate,d2_se,N,clusters
1,1.3290127554305973,0.2908681957312277,33190,1535
2,1.3194152992173696,0.29435325817542346,33190,1535
3,1.446242841024334,0.297101042706144,33190,1535
4,1.4324854813923178,0.29268026844724654,33190,1535
5,1.3064999293760693,0.2971172121178832,33190,1535
6,1.5475289459239265,0.29670403166453374,33190,1535
7,1.1047128805215782,0.2923928826169758,33190,1535
8,1.3850614390160838,0.2912628242662262,33190,1535
9,1.266288419516223,0.2919905788364236,33190,1535
10,1.3518347216384252,0.29730451270712027,33190,1535
11,1.263824315324602,0.293562319073488,33190,1535
12,1.40310997478107,0.2954713163410444,33190,1535
13,1.2449952831452977,0.2969461500116324,33190,1535
14,1.4954685123718994,0.2899928495752328,33190,1535
15,1.281209987871347,0.2922502971702467,33190,1535
16,1.526671276250424,0.29489508255204877,33190,1535
17,1.662567598919253,0.29677400519460057,33190,1535
18,1.4395121182615673,0.29900730460540176,33190,1535
19,1.1837045546275204,0.2941195781137051,33190,1535
20,1.603499766530367,0.2962618513709469,33190,1535
